timestamp,url,load_ms,status,error
2025-10-30 17:36:05.356,https://www.github.com,-1,ERROR,"TimeoutException: Navigation timed out after 60000 ms
Build info: version: '4.24.0', revision: '748ffc9bc3'
System info: os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '23'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Command: [b6505f22-b0dd-4ee6-80e8-9288157a1499, get {url=https://www.github.com}]
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 144.0.2, moz:accessibilityChecks: false, moz:buildID: 20251027123126, moz:geckodriverVersion: 0.36.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 24584, moz:profile: C:\Users\njain\AppData\Loca..., moz:shutdownTimeout: 60000, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, userAgent: Mozilla/5.0 (Windows NT 10....}
Session ID: b6505f22-b0dd-4ee6-80e8-9288157a1499"
2025-10-30 17:36:07.024,https://www.github.com,-1,ERROR,"TimeoutException: Navigation timed out after 60000 ms
Build info: version: '4.24.0', revision: '748ffc9bc3'
System info: os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '23'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Command: [f00547a0-6412-4fe9-9f9d-5e383ea4dedb, get {url=https://www.github.com}]
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 144.0.2, moz:accessibilityChecks: false, moz:buildID: 20251027123126, moz:geckodriverVersion: 0.36.0, moz:headless: false, moz:platformVersion: 10.0, moz:processID: 29924, moz:profile: C:\Users\njain\AppData\Loca..., moz:shutdownTimeout: 60000, moz:webdriverClick: true, moz:windowless: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, userAgent: Mozilla/5.0 (Windows NT 10....}
Session ID: f00547a0-6412-4fe9-9f9d-5e383ea4dedb"
2025-10-30 17:36:07.356,https://www.github.com,47366,OK,
2025-10-30 17:36:07.712,https://www.github.com,28740,OK,
2025-10-30 17:36:07.824,https://www.github.com,25609,OK,
2025-10-30 17:36:08.301,https://www.wikipedia.org,21254,OK,
timestamp,url,load_ms,status,error
2025-10-30 17:47:50.674,https://www.example.com,613,OK,
2025-10-30 17:48:12.281,https://www.example.com,2610,OK,
2025-10-30 17:48:12.455,https://www.wikipedia.org,8718,OK,
2025-10-30 17:48:14.553,https://www.wikipedia.org,4514,OK,
2025-10-30 17:48:16.267,https://www.github.com,28901,OK,
2025-10-30 17:48:18.576,https://www.example.com,855,OK,
2025-10-30 17:48:20.019,https://www.github.com,14575,OK,
2025-10-30 17:48:44.456,https://www.example.com,1422,OK,
2025-10-30 17:48:45.314,https://www.example.com,1780,OK,
2025-10-30 17:49:01.761,https://www.wikipedia.org,10301,OK,
2025-10-30 17:49:01.861,https://www.wikipedia.org,11274,OK,
